id,name,description,parent
prog001,דירת מדרגה,"מיועדות לבוגרי מעונות חסות הנוער, בגילים 18 עד 24 שנים, חסרי עורף משפחתי, מכל רחבי הארץ, המסוגלים לנהל אורח חיים עצמאי. במסגרת מגוריהם במקום זוכים המשתתפים בהכוונה, ליווי ותמיכה לצורך השתלבותם חזרה בקהילה.",
prog002,שחקית,הגברת המודעות של אמהות צעירות לתהליך התפתחותו של התינוק ולקדם את יכולתן לתרום להתפתחות ילדיהן באמצעות משחק,
prog003,מסיכון לסיכוי בגיל הרך,שילוב ילדים עם צרכים מיוחדים,
prog004,מועדונית טיפולית לגיל הרך,"מסגרת הפועלת בשעות אחר הצהריים ומהווה בית חם ל-15 ילדים בגילאי 3-6 הנמצאים על רצף הסיכון, ומטופלים ברווחה",
